Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Tyler Bashlor","- - -",0.2549019607843137,0.75,0.109090909,0.381818181,0.509090909,0.035714285,0.178571428,110,184,294,0.44642857,0.33928571,0.21428571,0.10714286,0.51785714,0.375,"Tyler Bashlor",15203,641341
"Tanner Anderson","- - -",0.3125,2.545454545,0.1875,0.583333333,0.229166666,0.363636363,0,83,141,224,0.35416667,0.3125,0.33333333,0.29166667,0.33333333,0.375,"Tanner Anderson",18029,664196
"Hector Velázquez","BOS",0.37209302325581395,1.464285714,0.206896551,0.471264367,0.32183908,0.285714285,0.071428571,183,316,499,0.39772727,0.29545455,0.30681818,0.22727273,0.39772727,0.375,"Hector Velazquez",19341,584171
"Justin Hagenman","NYM",0.22580645161290322,0.928571428,0.15625,0.40625,0.4375,0.142857142,0.071428571,76,123,199,0.53125,0.34375,0.125,0.09375,0.53125,0.375,"Justin Hagenman",21546,663795
"Anthony Veneziano","- - -",0.36507936507936506,0.958333333,0.253968253,0.365079365,0.38095238,0.041666666,0.041666666,148,238,386,0.390625,0.328125,0.28125,0.109375,0.515625,0.375,"Anthony Veneziano",27453,685107
"Mason Black","SFG",0.373134328358209,0.90625,0.152777777,0.402777777,0.444444444,0.125,0.15625,139,263,402,0.40277778,0.41666667,0.18055556,0.16666667,0.45833333,0.375,"Mason Black",30171,696131
"Nolan McLean","NYM",0.2692307692307692,2.4,0.089285714,0.642857142,0.267857142,0.066666666,0.266666666,110,213,323,0.32142857,0.39285714,0.28571429,0.125,0.5,0.375,"Nolan McLean",33703,690997
"Shinnosuke Ogasawara","WSN",0.3283582089552239,0.966666666,0.180555555,0.402777777,0.416666666,0.033333333,0.166666666,131,245,376,0.45833333,0.33333333,0.20833333,0.09722222,0.52777778,0.375,"Shinnosuke Ogasawara",35324,829272
"Cole Hamels","- - -",0.31528662420382164,1.366972477,0.19375,0.465625,0.340625,0.073394495,0.128440366,730,1244,1974,0.43558282,0.36503067,0.1993865,0.13803681,0.48773006,0.37423313,"Cole Hamels",4972,430935
"T.J. McFarland","- - -",0.31873479318734793,2.585106382,0.197619047,0.578571428,0.223809523,0.063829787,0.14893617,754,1150,1904,0.45882353,0.33176471,0.20941176,0.12705882,0.49882353,0.37411765,"T.J. McFarland",3237,519008
"Wily Peralta","- - -",0.3125,1.888888888,0.206779661,0.518644067,0.274576271,0.061728395,0.12345679,652,925,1577,0.44781145,0.31649832,0.23569024,0.14141414,0.48484848,0.37373737,"Wily Peralta",7738,503449
"Easton Lucas","- - -",0.32978723404255317,0.818181818,0.191919191,0.363636363,0.444444444,0.09090909,0.113636363,198,352,550,0.50505051,0.26262626,0.23232323,0.11111111,0.51515152,0.37373737,"Easton Lucas",26058,687922
