Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Kevin Gausman","- - -",43.75013031065464,-19.976491063833237,,-0.11673218011856079,-4.995853774249554,55.09494400024414,,0.4724636102662488,-1.3353269427696013,,-3.891072670618693,-1.2365974688736519,0.8836398396189918,,"Kevin Gausman",14107,592332
"Lance McCullers Jr.","HOU",-16.59660255908966,14.309746026992798,-3.7048875875771046,13.739512979984283,-5.917713776230812,,,-0.8927704442759365,1.161505359333831,-1.7642321845605258,0.9779012797141838,-0.6786369009439005,,,"Lance McCullers Jr.",14120,621121
"José Berríos","- - -",10.931907750666142,,-2.52242910861969,6.646734617650509,-0.6826239265501499,,,0.11106276288393925,,-1.0130237384014817,0.12363717666760618,-0.023022729394608765,,,"Jose Berrios",14168,621244
"Josh Hader","- - -",47.06952366232872,39.12654411792755,,,-1.583600990474224,,,1.024810007888716,2.2345256492248744,,,-0.9260824505697217,,,"Josh Hader",14212,623352
"Wandy Peralta","- - -",-0.7991623878479004,-9.562679279595613,,,29.08389677107334,0.041571687906980515,,-0.03491316679108346,-0.9393594577205908,,,1.3922401517986283,4.1571687906980515,,"Wandy Peralta",14295,593974
"Frankie Montas","- - -",-2.8811287730932236,-10.401002913713455,,,,11.835451692342758,,-0.04767712680941955,-0.3742714254664791,,,,0.5148086860523166,,"Frankie Montas",14309,593423
"Tyler Glasnow","- - -",54.2454400062561,17.85561815649271,,29.12194436788559,-1.0773015916347504,,,1.159338320287585,0.8914437422113185,,1.527107727733906,-0.9287082686506468,,,"Tyler Glasnow",14374,607192
"Hyun Jin Ryu","- - -",2.2759657949209213,1.5775019526481628,6.356937974691391,2.0055966079235077,25.41083714365959,,,0.07668348365636528,0.7620782379942815,0.4207106535202774,0.19247568214237118,1.255476143461442,,,"Hyun Jin Ryu",14444,547943
"Jorge López","- - -",-31.659806426614523,6.511393044143915,,-5.458275251090527,-6.97871857136488,,,-0.6995096426560875,0.8601576016042161,,-0.2763683671438241,-0.7602089947020566,,,"Jorge Lopez",14527,605347
"Carlos Estévez","- - -",3.783952474594116,7.481440380215645,,0.015110276639461517,3.227008283138275,,,0.0875307072540855,0.46410920472801764,,0.7555138319730759,0.4257266864298516,,,"Carlos Estevez",14542,608032
"Edwin Díaz","NYM",10.391064882278442,44.61111116409302,,,-0.684076264500618,,,0.3404673945700669,1.8541608962632177,,,-17.10190661251545,,,"Edwin Diaz",14710,621242
"Paul Blackburn","- - -",-40.32741531729698,-0.5691477954387665,-17.61365155875683,3.056496549397707,8.623434707522392,-0.6563554406166077,,-1.530452194204819,-0.059224536466052705,-1.5003110356692357,0.35091808833498356,1.0593900132091392,-5.469628671805063,,"Paul Blackburn",14739,621112
"Julio Urías","LAD",41.34944286942482,-0.6018097996711731,,36.70910557359457,-2.664778135716915,,,0.8655943661173292,-0.13343897997143528,,1.3687213114688506,-0.17016463191040326,,,"Julio Urias",14765,628711
"Emilio Pagán","- - -",31.725207775831223,8.270104989409447,,0.42009237408638,-0.5826631188392639,-0.2093946449458599,,0.8519121314670037,0.44727447211516747,,0.4828647978004368,-4.8555259903272,-0.029326981084854327,,"Emilio Pagan",14771,641941
"Buck Farmer","- - -",-1.7638413608074188,,,19.14489507675171,-10.140513945370913,,,-0.07016075420872787,,,1.1752544552947644,-0.7653218071978047,,,"Buck Farmer",14814,571656
"Michael Lorenzen","- - -",22.378242410719395,-0.6111857444047928,-2.8518494814634323,-8.274642169475555,14.161644905805588,,,0.47816757287861955,-0.02854674191521685,-0.2229749399111362,-1.309278824284107,0.6676871714194054,,,"Michael Lorenzen",14843,547179
"Caleb Smith","- - -",-2.349984474480152,-5.004533112049103,,-1.2005357034504414,1.8048382364213467,,,-0.07519950318336487,-0.2666240336733672,,-0.5532422596545813,0.17869685509122243,,,"Caleb Smith",14875,592761
"Jon Gray","- - -",-50.59582909941673,56.54528220742941,,-3.4670070186257362,-6.2496116533875465,,,-0.8950261648578938,1.2721098359376695,,-0.43886164792730836,-0.6476281506101084,,,"Jon Gray",14916,592351
"Chad Kuhl","- - -",-58.11726740002632,17.103517293930054,-3.0741629004478455,-4.598339095711708,-8.164999477565289,,,-2.222457644360471,0.6634413224953473,-2.955925865815236,-0.7129207900328229,-2.0160492537198245,,,"Chad Kuhl",14975,641771
"Giovanny Gallegos","STL",12.615002393722534,33.880040660500526,,,1.4774542450904846,,,0.5070338582685906,1.5275040874887524,,,0.8589850262153981,,,"Giovanny Gallegos",14986,606149
"Scott Barlow","- - -",-1.6599412560462952,25.700276374816895,,12.212237996980548,-1.3626748323440552,,,-0.06377031333255072,0.758791744163475,,0.7067267359363744,-68.13374161720276,,,"Scott Barlow",14993,605130
"Kyle Finnegan","- - -",11.016904890537262,-0.5615337491035461,,,,9.002725630998611,,0.27975888498063134,-0.09296916375886526,,,,0.7787824940310217,,"Kyle Finnegan",15009,640448
"Germán Márquez","COL",-41.57253956794739,-13.67908000946045,,26.555164396762848,-15.109201904386282,,,-0.6523229180597424,-0.5815935378171959,,0.9320872024135785,-4.304615927175579,,,"German Marquez",15038,608566
"Austin Voth","- - -",-8.24388575553894,-4.5091037303209305,-2.0380400717258453,-0.3296429514884949,-1.1442416906356812,-0.8677209615707397,,-0.293063837736898,-0.6068780256151992,-0.2596229390733561,-0.02122620421690244,-1.2044649375112433,-9.641344017452663,,"Austin Voth",15047,608723
"Andrew Heaney","- - -",-10.063350163400173,-20.163336139172316,-0.062091171741485596,-8.864774256944656,-4.718754462897778,,,-0.1287532006576276,-0.5883669722548094,-6.20911717414856,-2.778926099355692,-0.21576380717410965,,,"Andrew Heaney",15423,571760
"Matthew Boyd","- - -",1.5254948139190674,7.112286567687988,,-9.438088782131672,13.915435157716274,,,0.029489557585908897,0.2762053035995335,,-1.2500779843883008,0.798819469444103,,,"Matthew Boyd",15440,571510
"Nick Pivetta","- - -",19.67529073357582,21.679804779589176,-2.3635281547904015,-11.833980794996023,-11.321408525109291,0.09336896240711212,,0.25292827784517063,0.6693363624448649,-0.631959399676578,-0.31406530772282437,-5.8965669401610885,1.8673792481422424,,"Nick Pivetta",15454,601713
"Marco Gonzales","- - -",7.517859250307083,,-12.686711758375168,-1.0728779435157776,4.183090090751648,,,0.16751023284997957,,-0.6337018860327256,-0.06393789889843728,0.1585104240527339,,,"Marco Gonzales",15467,594835
"Lucas Giolito","- - -",14.475273609161377,1.9603559970855713,,-9.602175567299128,31.41766107082367,,,0.19932902243405917,0.057878830737690325,,-2.2124828496080937,0.7434373182873562,,,"Lucas Giolito",15474,608337
"Antonio Senzatela","COL",-53.97042238712311,-22.37296450138092,,-3.1285749711096287,-11.220900528132915,-3.8886401653289795,,-0.9262128434378428,-0.9199409745633602,,-0.344177664588518,-1.6145180616018582,-6.704552009187896,,"Antonio Senzatela",15488,622608
"Tyler Rogers","- - -",32.17894870042801,15.364279717206955,,,,,,0.8722946245711035,0.6338399223270197,,,,,,"Tyler Rogers",15541,643511
"Chad Green","- - -",25.287966340780258,1.228934407234192,-0.04930064454674721,-4.1378291845321655,,-2.0156695395708084,,0.7578054042787011,0.4373432054214206,-0.8216774091124535,-0.29683136187461734,,-9.162134270776402,,"Chad Green",15552,643338
"Luis Castillo","- - -",58.22471857070923,17.318535149097443,,,7.8130263686180115,,,0.5236506751570216,0.45913401773853246,,,0.1885382810959945,,,"Luis Castillo",15689,622491
"Brad Keller","- - -",-23.80603989958763,16.860616266727448,,-1.7723224461078644,2.4252650812268257,-0.4701719582080841,,-0.37401476668637285,0.451906091308696,,-1.0127556834902083,0.39435204572793914,-1.2055691236104722,,"Brad Keller",15734,641745
"Joe Jiménez","- - -",13.977476418018341,10.683906197547913,,,-10.035305798053741,,,0.44871513380476213,0.5958676072252043,,,-2.7645470518054385,,,"Joe Jimenez",15761,641729
"Zack Littell","- - -",11.88641294836998,-6.138256072998047,11.867777779698372,-2.202773332595825,-0.5436078011989594,-16.959860146045685,,0.30777868846115947,-1.6325149130313954,0.391288420036214,-36.71288887659709,-7.765825731413704,-0.975265103280373,,"Zack Littell",15823,641793
"Sean Manaea","- - -",37.251267708837986,-9.834420803934336,2.4741082787513733,-3.1738193035125732,3.8252325654029846,,,0.4926113159063473,-0.3757898664094129,0.9479342064181507,-5.6675344705581665,0.16174344885424882,,,"Sean Manaea",15873,640455
