"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Schreiber, John","670167","183","15.2",35,"113","88.5","77.3","91.9","85.9","429","175","407","70",38.3,"17",9.3,6.4
"Walker, Ryan","676254","180","5.9",31.1,"112.5","87","74.9","92.2","82.6","432","138","387","64",35.6,"9",5,3.4
"King, John","667463","180","-0.4",28.9,"117.9","89.7","78.1","91.8","88.2","443","122","400","78",43.3,"9",5,4.1
"Erceg, Lucas","668674","179","8.2",27.9,"116.5","89.1","77.8","93.2","87.7","403","143","389","67",37.4,"13",7.3,5.2
"Gaddis, Hunter","683769","179","17.4",34.1,"113.7","90.1","79.7","93.9","86.5","421","177","399","70",39.1,"17",9.5,6.2
"Harris, Hogan","663687","178","14.9",34.8,"111.9","88","77.9","90.1","86.3","431","184","396","58",32.6,"10",5.6,3.6
"Sheehan, Emmet","686218","178","20.1",37.6,"114.9","89.3","78.5","92.6","84.9","439","187","405","74",41.6,"18",10.1,6.2
"Garcia, Robert","676395","178","11.9",37.6,"111.8","88.6","77.7","92.3","83.5","439","173","392","61",34.3,"14",7.9,5.2
"Barlow, Scott","605130","177","17",32.2,"114.6","86.2","74.8","91.3","83.2","493","156","408","54",30.5,"13",7.3,4.3
"Matsui, Yuki","673513","177","20.6",30.5,"113.8","88.5","77.6","92.9","84.8","413","186","390","66",37.3,"16",9,5.9
"Koenig, Jared","657649","176","12.9",29.5,"112.9","88.7","78.6","92.3","85.6","420","162","395","61",34.7,"9",5.1,3.4
"Suarez, Robert","663158","176","15.5",37.5,"114.7","90.5","80.1","94.6","87.1","415","176","392","75",42.6,"16",9.1,5.9
"Megill, Tylor","656731","176","14.8",30.1,"114.7","90.3","79.6","93.6","88.8","409","160","392","77",43.8,"11",6.3,3.6
"Lee, Dylan","669276","176","16.9",30.7,"112.9","87.6","76.7","93","82.2","423","172","385","59",33.5,"18",10.2,6.8
"Akin, Keegan","669211","175","16.7",36.6,"110.7","89.4","78.3","92.8","85.7","421","182","399","73",41.7,"17",9.7,6.3
"Iglesias, Raisel","628452","175","20.4",38.9,"111.5","89","79.1","93","84.3","423","194","402","61",34.9,"15",8.6,5.6
"Uribe, Abner","682842","175","6.3",28.6,"113.4","86.2","73.6","90.3","84.6","427","124","405","61",34.9,"5",2.9,1.7
"Baker, Bryan","641329","174","16.7",35.1,"110.7","90.6","79.6","94.9","87.9","433","185","400","84",48.3,"22",12.6,8
"Henriquez, Ronny","678692","174","15.8",33.9,"112.6","88.3","76.8","93.3","84.3","417","173","405","74",42.5,"19",10.9,6.3
"Brazobán, Huascar","623211","174","11.5",28.7,"111.5","87.1","75.6","92.2","83.6","431","149","401","60",34.5,"14",8,5.3
"Wilson, Bryse","669060","174","17.2",39.1,"114.3","91.3","80.3","92.8","90.7","417","181","396","79",45.4,"19",10.9,8.5
"Soto, Gregory","642397","174","10.5",33.9,"115.2","88.9","77.4","93.1","87","422","154","391","66",37.9,"7",4,2.5
"Smith, Cade","671922","173","15.8",38.7,"114.1","89.2","79.1","90.7","89.1","429","176","402","64",37,"7",4,2.3
