"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Contreras, William",661388,"MIL","CH","Changeup",-0.3,-1,"269",11.1,"73","0.215","0.277","0.283",38.2,27.4,21.3,"0.172","0.242","0.232",30.4
"Varsho, Daulton",662139,"TOR","SI","Sinker",-2.2,-6,"290",12.5,"73","0.232","0.348","0.289",16.6,21.9,20.5,"0.251","0.396","0.294",35.2
"Slater, Austin",596103,"SF","FF","4-Seam Fastball",1.1,3,"266",32.9,"73","0.317","0.429","0.401",22,19.2,17.1,"0.293","0.482","0.38",63.3
"Kelenic, Jarred",672284,"SEA","SL","Slider",1,3,"320",19.2,"72","0.262","0.492","0.381",43.4,40.3,25.4,"0.252","0.436","0.331",44.4
"Farmer, Kyle",571657,"MIN","SL","Slider",0.6,1,"260",18.6,"72","0.242","0.439","0.336",34,33.3,26.1,"0.22","0.375","0.29",33.3
"Melendez, MJ",669004,"KC","CH","Changeup",0.7,2,"261",10.7,"72","0.262","0.385","0.333",33.1,27.8,25.3,"0.257","0.398","0.32",46.7
"Ahmed, Nick",605113,"AZ","FF","4-Seam Fastball",-1.8,-5,"287",37,"72","0.185","0.262","0.243",26.5,27.8,24.4,"0.213","0.327","0.276",40
"Solano, Donovan",456781,"MIN","SL","Slider",0.5,1,"308",17.1,"72","0.294","0.368","0.326",40.3,31.9,18.7,"0.252","0.374","0.292",37.8
"De La Cruz, Elly",682829,"CIN","SL","Slider",-0.3,-1,"258",14.7,"72","0.242","0.394","0.313",34.3,36.1,27.7,"0.222","0.349","0.283",35
"Cronenworth, Jake",630105,"SD","SI","Sinker",-0.6,-2,"267",13,"72","0.233","0.383","0.333",2.6,8.3,10.7,"0.274","0.412","0.364",40.7
"Knizner, Andrew",668800,"STL","FF","4-Seam Fastball",-3.1,-8,"252",30.5,"71","0.154","0.262","0.215",26.2,32.4,29.5,"0.186","0.395","0.275",46.5
"Hernández, Teoscar",606192,"SEA","ST","Sweeper",-1.5,-4,"245",9.2,"71","0.212","0.318","0.255",46.9,35.2,26,"0.241","0.395","0.286",41.9
"Muncy, Max",571970,"LAD","CH","Changeup",2.4,7,"279",11.2,"71","0.234","0.563","0.367",36.5,23.9,18.3,"0.255","0.624","0.397",40.4
"Bell, Josh",605137,"MIA","SI","Sinker",-0.1,0,"270",11.1,"71","0.246","0.508","0.401",20.3,15.5,21.2,"0.286","0.532","0.395",58
"Ruiz, Keibert",660688,"WSH","SI","Sinker",-0.4,-1,"248",13.1,"71","0.29","0.377","0.309",7.3,4.2,6.5,"0.273","0.38","0.293",30.3
"Morel, Christopher",666624,"CHC","SL","Slider",4,11,"262",15.8,"71","0.318","0.742","0.472",45.1,32.4,30.7,"0.29","0.635","0.407",58.1
"Sánchez, Gary",596142,"SD","FF","4-Seam Fastball",2.1,5,"259",23.7,"71","0.266","0.578","0.4",22.2,23.9,19.8,"0.258","0.618","0.395",48.9
"Nootbaar, Lars",663457,"STL","SL","Slider",-1.3,-4,"302",14.6,"71","0.111","0.175","0.213",33,40.8,26.6,"0.16","0.212","0.222",23.5
"Joe, Connor",656582,"PIT","SL","Slider",0.6,2,"331",16.7,"71","0.222","0.397","0.325",41.3,32.4,21.9,"0.181","0.271","0.252",27.5
"Suwinski, Jack",669261,"PIT","CH","Changeup",-0.1,0,"334",14.6,"71","0.164","0.295","0.282",36.5,28.2,22,"0.182","0.341","0.281",23.8
"Verdugo, Alex",657077,"BOS","SL","Slider",-0.8,-2,"266",11.3,"71","0.194","0.343","0.259",31.5,31,23.7,"0.201","0.321","0.251",26.7
"India, Jonathan",663697,"CIN","SL","Slider",0.8,3,"350",15.9,"71","0.232","0.42","0.314",33.3,31,17.6,"0.242","0.407","0.287",29.8
"Guerrero Jr., Vladimir",665489,"TOR","CH","Changeup",0.3,1,"249",10.2,"71","0.25","0.391","0.318",28.4,15.5,13.6,"0.297","0.508","0.378",45.3
"Julks, Corey",667452,"HOU","SL","Slider",-1.6,-4,"271",20.4,"71","0.203","0.25","0.232",32.8,29.6,23.6,"0.23","0.343","0.274",37.8
"Peraza, Oswald",672724,"NYY","FF","4-Seam Fastball",-2.7,-7,"270",37.4,"70","0.086","0.138","0.199",26.9,28.6,22.2,"0.165","0.291","0.28",23.7
"Andrus, Elvis",462101,"CWS","SL","Slider",0.2,1,"283",17.8,"70","0.288","0.409","0.315",25,20,17.7,"0.217","0.28","0.236",20.8
"Profar, Jurickson",595777,"SD","SL","Slider",-1.1,-3,"275",13.1,"70","0.141","0.297","0.24",31.9,28.6,22.5,"0.159","0.25","0.22",20.5
"Outman, James",681546,"LAD","CU","Curveball",-1.5,-4,"290",12.3,"70","0.155","0.207","0.241",41.3,37.1,26.3,"0.163","0.237","0.264",33.3
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",0.3,1,"296",33.7,"70","0.293","0.466","0.38",15.4,21.4,16.9,"0.274","0.383","0.344",29.5
"Díaz, Elias",553869,"COL","CH","Changeup",-2.1,-5,"252",12.7,"70","0.188","0.319","0.249",33.3,20,17.1,"0.193","0.274","0.207",25.5
"Adames, Willy",642715,"MIL","CH","Changeup",2.2,6,"289",11.1,"70","0.259","0.466","0.375",39.4,31.4,19.6,"0.221","0.406","0.34",41.7
"De La Cruz, Elly",682829,"CIN","CH","Changeup",-0.1,0,"279",15.9,"70","0.242","0.424","0.319",33.3,21.4,19.5,"0.261","0.385","0.303",35.3
"Lowe, Brandon",664040,"TB","SL","Slider",-1.3,-3,"252",14.7,"70","0.161","0.323","0.271",44.4,38.6,30,"0.137","0.245","0.234",31.4
"Reynolds, Bryan",668804,"PIT","SL","Slider",0.1,0,"294",11.7,"70","0.219","0.391","0.286",43.1,40,26.4,"0.247","0.51","0.34",51.4
"Ibáñez, Andy",628451,"DET","SL","Slider",-0.9,-2,"244",17.7,"70","0.254","0.284","0.284",29.8,18.6,20.3,"0.289","0.388","0.312",38.9
"Ford, Mike",645801,"SEA","FF","4-Seam Fastball",2.5,6,"247",23.9,"69","0.254","0.627","0.414",22.6,30.4,25,"0.212","0.518","0.359",47.4
"Ward, Taylor",621493,"LAA","SI","Sinker",0.5,1,"255",15.7,"69","0.302","0.396","0.409",10.8,11.6,17,"0.302","0.433","0.406",44.4
"Mancini, Trey",641820,"CHC","FF","4-Seam Fastball",-1.9,-5,"291",27.7,"69","0.227","0.364","0.263",28.8,39.1,27.8,"0.181","0.305","0.23",42.5
"Arozarena, Randy",668227,"TB","CH","Changeup",3.4,9,"260",9.7,"69","0.345","0.534","0.459",28.4,20.3,16.9,"0.285","0.453","0.378",51.1
"Thompson, Trayce",572204,"CWS","FF","4-Seam Fastball",-2.2,-6,"259",32.4,"69","0.107","0.161","0.239",39.4,40.6,32.9,"0.135","0.268","0.268",50
"Garver, Mitch",641598,"TEX","SL","Slider",0.8,2,"300",21,"69","0.234","0.406","0.304",38.1,36.2,28.7,"0.2","0.357","0.27",28.2
