Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Ranger Suarez","PHI",0.24489795918367346,3.625,0.229166666,0.604166666,0.166666666,0,0.125,79,160,239,0.5,0.28,0.22,0.2,0.48,0.32,"Ranger Suarez",17277,624133
"Framber Valdez","HOU",0.2653061224489796,3,0.183673469,0.612244897,0.204081632,0.1,0.1,149,212,361,0.46,0.28,0.26,0.2,0.48,0.32,"Framber Valdez",17295,664285
"Héctor Neris","PHI",0.19402985074626866,1.44,0.14084507,0.507042253,0.352112676,0.04,0.2,203,325,528,0.45833333,0.30555556,0.23611111,0.16666667,0.51388889,0.31944444,"Hector Neris",11804,593576
"Tim Mayza","TOR",0.23529411764705882,3.285714285,0.166666666,0.638888888,0.194444444,0.071428571,0.285714285,187,257,444,0.44444444,0.33333333,0.22222222,0.15277778,0.52777778,0.31944444,"Tim Mayza",15042,641835
"J.A. Happ","NYY",0.2631578947368421,2,0.19327731,0.537815126,0.268907563,0.09375,0.1875,227,412,639,0.37815126,0.39495798,0.22689076,0.24369748,0.43697479,0.31932773,"J.A. Happ",7410,457918
"Oliver Drake","TBR",0.20588235294117646,3.461538461,0.147058823,0.661764705,0.19117647,0.076923076,0.076923076,120,290,410,0.46376812,0.34782609,0.1884058,0.13043478,0.55072464,0.31884058,"Oliver Drake",8823,543118
"Jarlín García","MIA",0.2878787878787879,2.916666666,0.265625,0.546875,0.1875,0.083333333,0,103,183,286,0.3030303,0.43939394,0.25757576,0.21212121,0.46969697,0.31818182,"Jarlin Garcia",18282,606424
"Austin Voth","WSN",0.3064516129032258,1.19047619,0.269841269,0.396825396,0.333333333,0.19047619,0.047619047,130,201,331,0.42857143,0.28571429,0.28571429,0.20634921,0.47619048,0.31746032,"Austin Voth",15047,608723
"Derek Holland","- - -",0.23076923076923078,3.6,0.092105263,0.710526315,0.197368421,0.066666666,0.066666666,165,267,432,0.40506329,0.41772152,0.17721519,0.24050633,0.44303797,0.3164557,"Derek Holland",4141,502706
"Eduardo Rodriguez","BOS",0.3148148148148148,1.90625,0.191304347,0.530434782,0.278260869,0.125,0.28125,271,468,739,0.41880342,0.35042735,0.23076923,0.26495726,0.41880342,0.31623932,"Eduardo Rodriguez",13164,593958
"Dustin May","LAD",0.4594594594594595,1,0.405405405,0.297297297,0.297297297,0.09090909,0.09090909,86,148,234,0.26315789,0.47368421,0.26315789,0.13157895,0.55263158,0.31578947,"Dustin May",19716,669160
"Victor Alcántara","DET",0.24528301886792453,1.5,0.166666666,0.5,0.333333333,0.111111111,0.055555555,87,133,220,0.48148148,0.27777778,0.24074074,0.16666667,0.51851852,0.31481481,"Victor Alcantara",15028,622505
"Hunter Wood","- - -",0.26865671641791045,0.724137931,0.242424242,0.318181818,0.439393939,0.068965517,0.034482758,119,207,326,0.37313433,0.35820896,0.26865672,0.17910448,0.50746269,0.31343284,"Hunter Wood",15091,621056
"Danny Duffy","KCR",0.31645569620253167,0.684210526,0.228915662,0.313253012,0.457831325,0.052631578,0.105263157,205,302,507,0.34939759,0.42168675,0.22891566,0.1686747,0.51807229,0.31325301,"Danny Duffy",3542,518633
"Adam Morgan","PHI",0.21875,0.6875,0.15625,0.34375,0.5,0.25,0,60,134,194,0.375,0.34375,0.28125,0.28125,0.40625,0.3125,"Adam Morgan",12580,605388
"Andrew Kittredge","TBR",0.37777777777777777,1,0.291666666,0.354166666,0.354166666,0,0.176470588,96,190,286,0.39583333,0.3125,0.29166667,0.125,0.5625,0.3125,"Andrew Kittredge",12828,552640
"Bryse Wilson","ATL",0.3103448275862069,0.529411764,0.161290322,0.29032258,0.548387096,0.117647058,0.176470588,63,119,182,0.34375,0.40625,0.25,0.15625,0.53125,0.3125,"Bryse Wilson",19990,669060
"Aníbal Sánchez","WSN",0.2775330396475771,1.44,0.221276595,0.459574468,0.319148936,0.053333333,0.146666666,490,779,1269,0.46218487,0.33193277,0.20588235,0.19747899,0.49159664,0.31092437,"Anibal Sanchez",3284,434671
"Jacob Waguespack","TOR",0.23958333333333334,1.076923076,0.19,0.42,0.39,0.076923076,0.102564102,225,396,621,0.43,0.31,0.26,0.19,0.5,0.31,"Jacob Waguespack",18318,621097
