"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Yates, Kirby",489446,"TEX","FF","4-Seam Fastball",2.5,15,"623",60.7,"146","0.113","0.21","0.212",35.2,41.1,27.3,"0.128","0.218","0.223",33.3
"Manaea, Sean",640455,"NYM","ST","Sweeper",0.2,1,"567",18.9,"146","0.194","0.313","0.253",39,41.8,26.4,"0.158","0.256","0.219",25.7
"Stroman, Marcus",573186,"NYY","SL","Slider",-2.3,-10,"425",16,"146","0.258","0.386","0.325",27.2,28.1,18,"0.228","0.368","0.301",42.9
"Brown, Hunter",686613,"HOU","SI","Sinker",1.4,8,"518",17.9,"145","0.267","0.305","0.297",14.8,15.2,18.5,"0.242","0.318","0.291",11.9
"King, John",667463,"STL","SI","Sinker",1.2,6,"505",58.9,"145","0.281","0.344","0.299",12.5,13.8,18.2,"0.258","0.35","0.313",39.5
"Wacha, Michael",608379,"KC","SI","Sinker",0.5,2,"409",15.7,"145","0.248","0.296","0.3",10.4,16.6,16.7,"0.271","0.411","0.34",35.6
"Martinez, Nick",607259,"CIN","CH","Changeup",1.5,7,"460",21.6,"144","0.186","0.286","0.217",41.6,32.6,22.8,"0.183","0.243","0.202",17.2
"Lorenzen, Michael",547179,"KC","SI","Sinker",-0.3,-1,"446",21.3,"144","0.289","0.438","0.364",6.2,16,18,"0.302","0.479","0.372",45.3
"Stone, Gavin",694813,"LAD","FF","4-Seam Fastball",-0.4,-2,"557",25.9,"144","0.242","0.427","0.343",17.7,25,25,"0.233","0.41","0.335",43.2
"Bibee, Tanner",676440,"CLE","CH","Changeup",0.3,2,"512",18,"144","0.238","0.431","0.319",29.1,33.3,24.9,"0.225","0.371","0.296",25.3
"Pearson, Nate",663878,"CHC","FF","4-Seam Fastball",-1.1,-5,"486",45.9,"144","0.304","0.504","0.389",20.1,18.8,21.4,"0.246","0.481","0.357",47
"Crawford, Kutter",676710,"BOS","ST","Sweeper",-0.5,-3,"522",18.5,"144","0.222","0.437","0.305",26.3,20.8,16,"0.215","0.438","0.303",33.3
"Fedde, Erick",607200,"STL","ST","Sweeper",1.5,9,"583",20.2,"144","0.165","0.309","0.224",25.1,20.8,14.2,"0.192","0.357","0.251",25.7
"Heaney, Andrew",571760,"TEX","CH","Changeup",0.4,2,"462",16.9,"143","0.239","0.384","0.283",24.3,13.3,15,"0.269","0.427","0.312",31.4
"Fernandez, Ryan",681676,"STL","SL","Slider",1,5,"572",48.1,"143","0.182","0.295","0.244",41,36.4,21.7,"0.162","0.228","0.214",23.5
"Criswell, Cooper",681867,"BOS","CH","Changeup",0.3,1,"459",26.1,"143","0.256","0.338","0.287",17.1,11.2,9.8,"0.254","0.371","0.298",38.7
"Yamamoto, Yoshinobu",808967,"LAD","FF","4-Seam Fastball",0.9,5,"595",40.5,"142","0.266","0.419","0.34",17.6,18.3,17.9,"0.272","0.458","0.363",45.5
"Weaver, Luke",596133,"NYY","FF","4-Seam Fastball",0.8,6,"664",48.3,"142","0.177","0.331","0.272",30,32.4,21.9,"0.189","0.409","0.308",49.4
"Walker, Ryan",676254,"SF","SL","Slider",1.7,9,"546",44.8,"142","0.157","0.269","0.206",38,38.7,26.6,"0.172","0.278","0.222",21.3
"Megill, Trevor",656730,"MIL","FF","4-Seam Fastball",1.9,9,"476",71.3,"142","0.209","0.279","0.263",22.2,22.5,24.1,"0.217","0.364","0.29",44.4
"Nicolas, Kyle",693312,"PIT","FF","4-Seam Fastball",0.6,3,"523",55.1,"142","0.23","0.327","0.321",19.3,16.2,18.7,"0.233","0.408","0.357",47.3
"Yarbrough, Ryan",642232,"TOR","SI","Sinker",2.3,10,"448",29.6,"141","0.198","0.278","0.262",8.9,9.9,16.5,"0.269","0.41","0.335",40.4
"Glasnow, Tyler",607192,"LAD","SL","Slider",1,6,"557",27.7,"141","0.2","0.333","0.253",40.4,33.3,30.3,"0.214","0.335","0.262",37.5
"Mayza, Tim",641835,"NYY","SI","Sinker",-0.4,-2,"524",71.7,"141","0.32","0.508","0.388",16.5,13.5,15.8,"0.294","0.478","0.357",39.3
"Stanek, Ryne",592773,"NYM","FF","4-Seam Fastball",0.2,1,"579",59.3,"141","0.231","0.397","0.337",27.9,22.7,17.9,"0.198","0.407","0.314",42.2
"Richards, Trevor",670950,"MIN","FF","4-Seam Fastball",0.6,3,"537",45.4,"141","0.229","0.339","0.343",14.3,19.1,16.1,"0.253","0.451","0.386",51.8
"Arrighetti, Spencer",681293,"HOU","FC","Cutter",1,5,"491",19.6,"140","0.248","0.444","0.368",22.8,16.4,24,"0.229","0.427","0.35",37.2
"Burnes, Corbin",669203,"BAL","CU","Curveball",0.5,3,"644",21.5,"140","0.2","0.326","0.241",37.8,35,25.9,"0.2","0.35","0.245",30.7
"Stone, Gavin",694813,"LAD","CH","Changeup",0.8,5,"574",26.7,"140","0.178","0.356","0.235",37.2,26.4,16.7,"0.228","0.405","0.279",30
"Barnes, Jacob",606930,"WSH","FC","Cutter",-0.3,-2,"550",49.2,"139","0.269","0.408","0.322",29.9,19.4,18.8,"0.275","0.409","0.316",31.4
"Detmers, Reid",672282,"LAA","FF","4-Seam Fastball",-0.9,-6,"660",42.4,"139","0.273","0.479","0.376",25.1,22.3,18.6,"0.23","0.451","0.342",40
"Abreu, Bryan",650556,"HOU","FF","4-Seam Fastball",-0.6,-4,"602",46.3,"139","0.256","0.471","0.363",28.4,24.5,23.9,"0.232","0.444","0.336",46.6
